slot id,date from,date to,tags
1,2008-01-01,2008-01-08,polityka-kultura-ceylon-ltte-sri lanka-3.rp-kaczyński-kolonie-tvn-szpargały-test-tusk-dzieciństwo-po-pis-epifania-wojciech cejrowski-tygrysy-pomosty-homoseksualizm
2,2008-01-04,2008-01-11,polityka-kultura-polska-spotkanie-niemcy-włóczykij-liceum-góry-matura-wykaz notek-wspomnienia-zadanie-3.rp-maciejowice-kaczyński-anioły-kolonie-tvn-obowiązek meldunkowy-1.rp
3,2008-01-07,2008-01-14,polityka-kultura-spotkanie-dolny śląsk-włóczykij-anioły-zadanie-maciejowice-góry-tvn-matura-dedykacje-po-egzamin-wojciech cejrowski-matematyka-barysiówka-palikot-pomosty-pesel
4,2008-01-10,2008-01-17,polityka-kultura-ludzie-niemcy-włóczykij-anioły-spotkanie-polacy-dolny śląsk-po-język-palikot-2ww
5,2008-01-13,2008-01-20,polityka-kultura-niemcy-wspomnienia-polacy-rodzina-szpargały-wojciech sadurski-dzieciństwo-antyklerykalizm-po-język-palikot-gross-2ww-antysemityzm
6,2008-01-16,2008-01-23,polityka-kultura-spotkanie-włóczykij-antysemityzm-poncyliusz-icchak szamir-wspomnienia-rozbiory-poniatowski-polacy-salon24-rodzina-szpargały-wojciech sadurski-antysemityzm wyssany z mlekiem matki-dzieciństwo-antyklerykalizm-pis-język
7,2008-01-19,2008-01-26,"polityka-kultura-włóczykij-spotkanie-antysemityzm-polonofobia-ludzie-proste pytanie-poncyliusz-icchak szamir-rozbiory-poniatowski-salon24-""katyń""-cele-antysemityzm wyssany z mlekiem matki-powstanie styczniowe-pis-lider-reprywatyzacja"
8,2008-01-22,2008-01-29,"polityka-kultura-powstanie styczniowe-andrzej wajda-antysemityzm-wrocław-film-spotkanie-ludzie-włóczykij-proste pytanie-wajda-rozbiory-poniatowski-kazimierz kutz-""katyń""-oscar-cele-bondaryk-lider"
9,2008-01-25,2008-02-01,polityka-kultura-aborcja-katyń-sarmatyzm-andrzej wajda-gps65-prl-fmw-hall-wajda-kpn-salon24-kazimierz kutz-oscar-trikke skki-powstanie styczniowe-bondaryk-romantyzm-abw
10,2008-01-28,2008-02-04,polityka-kultura-bondaryk-służby-aborcja-wojciech sadurski-abw-moralność-kpn-liberalizm-srebrne usta-salon24-trójka-rum-trikke skki-prywatność pacjenta-lenin-anonimizacja-wsi-gdańsk
11,2008-01-31,2008-02-07,"polityka-kultura-wojciech sadurski-aborcja-agent ""wolski""-ryszard kukliński-wycieczki śmieszne-gps65-włóczykij-armia prl-moralność-liberalizm-srebrne usta-góry-armia prl jako sowieckie mięso armatnie-lwp w ataku na rfn i danię-salon24-trójka-szalbierstwo michnika w celu obrony prl-rum"
12,2008-02-03,2008-02-10,"polityka-kultura-włóczykij-liberalizm-armia prl-podatki-rzeki-lwp w ataku na rfn i danię-agent ""wolski""-kolektywizm-wycieczki śmieszne-srebrne usta-moralność-ryszard kukliński-wiersz-fołtyn-góry-armia prl jako sowieckie mięso armatnie-ziobro-powrót wywiezinych przez sowietów polaków"
13,2008-02-06,2008-02-13,"polityka-kultura-kolektywizm-włóczykij-totalitaryzm-rosja-agent ""wolski""-odpowiedzialność zbiorowa-ziobro-duchowość-podatki-ryszard kukliński-gibdd-ludzie-rzeki-antysemityzm-gai-rock-afera marszałkowa-wrocław"
14,2008-02-09,2008-02-16,polityka-kultura-kolektywizm-aborcja-rosja-wiersz-ii rp-odpowiedzialność zbiorowa-podatki-duchowość-antysemityzm-gibdd-ludzie-afera marszałkowa-gai-włóczykij-rock-retrospekcje-wrocław-zagadka
15,2008-02-12,2008-02-19,polityka-kultura-aborcja-retrospekcje-przyczyny-rosja-ludzie-ii rp-rock-włóczykij-wulgarna erotyka-wykaz notek-serbia-dmytro doncow-voodoo chile-electric ladyland-blues-jimi hendrix-srv-reklama
16,2008-02-15,2008-02-22,polityka-kultura-włóczykij-wycieczki śmieszne-dolny śląsk-aborcja-po-praktyki-wiersz-wrocław-kikliński-iiirp-ii rp-nauczyciel-ludzie-dan brown-retrospekcje-oun-góry-serbia
