id,last slot date range,current slot date range,number of nodes in last slot,number of nodes in current slot,active nodes,number of edges in last slot,number of edges in current slot,active edges
1->2,2008-01-01 - 2008-01-08,2008-01-04 - 2008-01-11,896,974,801,3765,4579,2789
2->3,2008-01-04 - 2008-01-11,2008-01-07 - 2008-01-14,974,995,843,4579,4847,3103
3->4,2008-01-07 - 2008-01-14,2008-01-10 - 2008-01-17,995,982,848,4847,4543,3020
4->5,2008-01-10 - 2008-01-17,2008-01-13 - 2008-01-20,982,945,807,4543,4244,2760
5->6,2008-01-13 - 2008-01-20,2008-01-16 - 2008-01-23,945,941,807,4244,4203,2775
6->7,2008-01-16 - 2008-01-23,2008-01-19 - 2008-01-26,941,980,787,4203,4178,2529
7->8,2008-01-19 - 2008-01-26,2008-01-22 - 2008-01-29,980,1032,864,4178,4385,2876
8->9,2008-01-22 - 2008-01-29,2008-01-25 - 2008-02-01,1032,1055,878,4385,4979,2862
9->10,2008-01-25 - 2008-02-01,2008-01-28 - 2008-02-04,1055,1067,893,4979,5396,3528
10->11,2008-01-28 - 2008-02-04,2008-01-31 - 2008-02-07,1067,1022,885,5396,5119,3381
11->12,2008-01-31 - 2008-02-07,2008-02-03 - 2008-02-10,1022,1008,857,5119,4787,3171
12->13,2008-02-03 - 2008-02-10,2008-02-06 - 2008-02-13,1008,1003,865,4787,4708,3077
13->14,2008-02-06 - 2008-02-13,2008-02-09 - 2008-02-16,1003,989,835,4708,4494,2928
14->15,2008-02-09 - 2008-02-16,2008-02-12 - 2008-02-19,989,986,843,4494,4432,2979
15->16,2008-02-12 - 2008-02-19,2008-02-15 - 2008-02-22,986,987,824,4432,4383,2723
16->17,2008-02-15 - 2008-02-22,2008-02-18 - 2008-02-25,987,986,836,4383,4359,2927
17->18,2008-02-18 - 2008-02-25,2008-02-21 - 2008-02-28,986,984,837,4359,4338,2779
18->19,2008-02-21 - 2008-02-28,2008-02-24 - 2008-03-02,984,1016,815,4338,4255,2771
19->20,2008-02-24 - 2008-03-02,2008-02-27 - 2008-03-05,1016,1013,872,4255,4179,2710
20->21,2008-02-27 - 2008-03-05,2008-03-01 - 2008-03-08,1013,957,811,4179,4046,2540
21->22,2008-03-01 - 2008-03-08,2008-03-04 - 2008-03-11,957,928,811,4046,3892,2610
22->23,2008-03-04 - 2008-03-11,2008-03-07 - 2008-03-14,928,954,783,3892,4181,2445
23->24,2008-03-07 - 2008-03-14,2008-03-10 - 2008-03-17,954,977,829,4181,4508,2844
24->25,2008-03-10 - 2008-03-17,2008-03-13 - 2008-03-20,977,1055,845,4508,5054,3024
25->26,2008-03-13 - 2008-03-20,2008-03-16 - 2008-03-23,1055,1099,920,5054,5017,3399
26->27,2008-03-16 - 2008-03-23,2008-03-19 - 2008-03-26,1099,1020,897,5017,4274,3032
27->28,2008-03-19 - 2008-03-26,2008-03-22 - 2008-03-29,1020,943,777,4274,3976,2298
28->29,2008-03-22 - 2008-03-29,2008-03-25 - 2008-04-01,943,991,834,3976,4519,2919
29->30,2008-03-25 - 2008-04-01,2008-03-28 - 2008-04-04,991,994,823,4519,4478,2783
30->31,2008-03-28 - 2008-04-04,2008-03-31 - 2008-04-07,994,970,842,4478,4190,2874
31->32,2008-03-31 - 2008-04-07,2008-04-03 - 2008-04-10,970,960,803,4190,4116,2517
32->33,2008-04-03 - 2008-04-10,2008-04-06 - 2008-04-13,960,954,812,4116,4186,2626
33->34,2008-04-06 - 2008-04-13,2008-04-09 - 2008-04-16,954,993,815,4186,4519,2753
34->35,2008-04-09 - 2008-04-16,2008-04-12 - 2008-04-19,993,1065,853,4519,4952,2995
35->36,2008-04-12 - 2008-04-19,2008-04-15 - 2008-04-22,1065,1063,928,4952,4609,3280
36->37,2008-04-15 - 2008-04-22,2008-04-18 - 2008-04-25,1063,1015,863,4609,4340,2715
37->38,2008-04-18 - 2008-04-25,2008-04-21 - 2008-04-28,1015,965,833,4340,3862,2642
38->39,2008-04-21 - 2008-04-28,2008-04-24 - 2008-05-01,965,962,795,3862,3975,2337
39->40,2008-04-24 - 2008-05-01,2008-04-27 - 2008-05-04,962,959,806,3975,4097,2568
40->41,2008-04-27 - 2008-05-04,2008-04-30 - 2008-05-07,959,1014,813,4097,4393,2702
41->42,2008-04-30 - 2008-05-07,2008-05-03 - 2008-05-10,1014,1056,854,4393,4629,2739
42->43,2008-05-03 - 2008-05-10,2008-05-06 - 2008-05-13,1056,1086,917,4629,4829,3205
43->44,2008-05-06 - 2008-05-13,2008-05-09 - 2008-05-16,1086,1093,899,4829,5015,3007
44->45,2008-05-09 - 2008-05-16,2008-05-12 - 2008-05-19,1093,1080,939,5015,4954,3464
45->46,2008-05-12 - 2008-05-19,2008-05-15 - 2008-05-22,1080,1062,895,4954,4681,2939
46->47,2008-05-15 - 2008-05-22,2008-05-18 - 2008-05-25,1062,1065,902,4681,4583,3029
47->48,2008-05-18 - 2008-05-25,2008-05-21 - 2008-05-28,1065,1070,900,4583,4598,2963
48->49,2008-05-21 - 2008-05-28,2008-05-24 - 2008-05-31,1070,1050,892,4598,4431,2774
49->50,2008-05-24 - 2008-05-31,2008-05-27 - 2008-06-03,1050,1031,880,4431,4304,2957
50->51,2008-05-27 - 2008-06-03,2008-05-30 - 2008-06-06,1031,1087,861,4304,4532,2562
51->52,2008-05-30 - 2008-06-06,2008-06-02 - 2008-06-09,1087,1068,941,4532,4678,3150
52->53,2008-06-02 - 2008-06-09,2008-06-05 - 2008-06-12,1068,1118,909,4678,4786,2911
53->54,2008-06-05 - 2008-06-12,2008-06-08 - 2008-06-15,1118,1084,954,4786,4645,3051
54->55,2008-06-08 - 2008-06-15,2008-06-11 - 2008-06-18,1084,1062,901,4645,4615,2987
55->56,2008-06-11 - 2008-06-18,2008-06-14 - 2008-06-21,1062,1073,878,4615,4771,2767
56->57,2008-06-14 - 2008-06-21,2008-06-17 - 2008-06-24,1073,1069,919,4771,4989,3256
57->58,2008-06-17 - 2008-06-24,2008-06-20 - 2008-06-27,1069,1136,905,4989,5298,3012
58->59,2008-06-20 - 2008-06-27,2008-06-23 - 2008-06-30,1136,1144,979,5298,5248,3721
59->60,2008-06-23 - 2008-06-30,2008-06-26 - 2008-07-03,1144,1095,934,5248,4779,2974
60->61,2008-06-26 - 2008-07-03,2008-06-29 - 2008-07-06,1095,1088,905,4779,4686,3048
61->62,2008-06-29 - 2008-07-06,2008-07-02 - 2008-07-09,1088,1084,916,4686,4698,2898
62->63,2008-07-02 - 2008-07-09,2008-07-05 - 2008-07-12,1084,1087,882,4698,4616,2729
63->64,2008-07-05 - 2008-07-12,2008-07-08 - 2008-07-15,1087,1153,948,4616,4721,3190
64->65,2008-07-08 - 2008-07-15,2008-07-11 - 2008-07-18,1153,1121,947,4721,4704,2728
65->66,2008-07-11 - 2008-07-18,2008-07-14 - 2008-07-21,1121,1111,946,4704,5105,3261
66->67,2008-07-14 - 2008-07-21,2008-07-17 - 2008-07-24,1111,1119,919,5105,5428,3275
67->68,2008-07-17 - 2008-07-24,2008-07-20 - 2008-07-27,1119,1092,935,5428,5103,3372
68->69,2008-07-20 - 2008-07-27,2008-07-23 - 2008-07-30,1092,1080,926,5103,4669,3299
